A1;;;
A2;;;
A4;;;
A5;;;
A6;;;
A7;;;
A8;;;
A9;;;
A10;;;
Dentate gyrus lateral blade granule cell layer;;;
Dentate gyrus lateral blade molecular layer;;;
Dentate gyrus lateral blade polymorph layer;;;
Dentate gyrus lateral blade;;;
Dentate gyrus medial blade granule cell layer;;;
Dentate gyrus medial blade molecular layer;;;
Dentate gyrus medial blade polymorph layer;;;
Dentate gyrus medial blade;;;
Dentate gyrus molecular layer;DGml;molecular layer of the dentate gyrus;
Dentate gyrus of the hippocampus;;;
Dentate gyrus;;;
Dentate gyrus;;;
Dentate gyrus;DG;area dentata, Gyrus dentatus;
Dentate hilus;;;
Dentate nucleus parvicellular part;;;
Dentate nucleus proper;;;
Dentate nucleus;Dt;dentate cerebellar nucleus, lateral cerebellar nucleus, Nucleus dentatus, Nucleus lateralis cerebelli,dentate;
Dentatothalamic tract;dt;;
Descending octaval nucleus;;;
Descending trigeminal nucleus;;;
Descussation of the scp;;;
diagonal band nucleus;;diagnoal band nuclei,diagonal nuclear complex;
Diagonal band;db;diagonal band of Broca, Fasciculus diagonalis Brocae;
Diaphragm;;;
Diencephalic alar plate;;;
Diencephalic areas;;;
diencephalic auditory nuclei;;;
Diencephalic nuclei;;Diencephalic;
Diencephalon;Ibr;interbrain, between brain, diencephalon, mature diencephalon;
Direct tectospinal pathway;;;
Distal optic nerve;;;
Distal part of hypophysis;DHP;;
Dorsolateral periaqueductal gray;;;
Dorsal accessory olive;DIO;dorsal accessory nucleus of the inferior olive, dorsal accessory olivary nucleus;
Dorsal accessory subnucleus;;;
Dorsal acoustic stria;das;;
Dorsal and median raphe nuclei;;;
Dorsal and ventral nucleus laminaris;;;
Dorsal and ventral thalamus;;;
Dorsal anterior cingulate;;;
Dorsal area 8;;;
Dorsal area X;;;
Dorsal auditory areas;;;
Dorsal belt;;;
Dorsal cap of Kooy;;;
Dorsal cap of the inferior olive;;;
Dorsal cap;;;
Dorsal cochlear nucleus;Dco;Nucleus cochlearis dorsalis, dorsal CN;
Dorsal column nuclei;;Dorsal column nucleus,Dorsal columns;
Dorsal commissural nucleus;;dorsal gray commissure,Dorsal commissural nuclei,Dorsal commissure of the spinal cord;
Dorsal cortex;;;
Dorsal deutocerebrum;;;
Dorsal division nuclei;;;
Dorsal dysgranular;;;
dorsal edge of the lateral pallium;;;
Dorsal external arcuate fiber bundle;;;
Dorsal extrastriate cortex;;;
Dorsal fornix;;;
Dorsal geniculate nucleus;;;
Dorsal globus pallidus;;;
Dorsal gray commissure;;;
Dorsal hemiretina;;;
Dorsal hippocampal commissure angular bundle;;;
Dorsal hippocampal commissure;;;
Dorsal hippocampus;;;
Dorsal horn of the spinal cord;;dorsal horn;
Dorsal hypothalamic area;DH;Area hypothalamica dorsalis,dorsal hypothalamus;
Dorsal lateral geniculate nucleus;;dorsal lateral geniculate;
Dorsal lateral nucleus of the hypothalamus;;;
Dorsal lateral nucleus of the thalamus;;;
Dorsal lateral subnucleus of bed nucleus of the stria terminalis;;;
Dorsal lateral subnucleus;;;
Dorsal lateral;;;
Dorsal longitudinal fascicle;;;
Dorsal longitudinal fasciculus of hypothalamus;dlfh;dorsal longitudinal fasciculus;
Dorsal longitudinal fasciculus of medulla;dlfm;;
Dorsal longitudinal fasciculus of midbrain;dlfmb;;
Dorsal longitudinal fasciculus of pons;dlfp;;
Dorsal longitudinal fasciculus;dlf;dorsal longitudinal fascicle, Fasciculus longitudinalis dorsalis;
